Drug_Name,NAFDAC_Code,Manufacturer,Category,Label
"""DR BROWN'S"" ADULT DIAPER (LARGE) $",03-1450,Wemy Industries Limited,Medical devices,1
Accu-Chek Instant Wireless Blood Glucose Monitoring System,03-6514,Wemy Industries Limited,Medical devices,1
Accu-Chek Safe-T-Pro Uno Single-Use Lancing Device,03-6091,Wemy Industries Limited,Medical devices,1
Accu-Chek Softclix Lancet,03-6090,Wemy Industries Limited,Medical devices,1
Adre Baby Wipes,A3-100882,Wemy Industries Limited,Medical devices,1
Afmaryaz Lady Special Sanitary Pads,03-1313,Wemy Industries Limited,Medical devices,1
Aiwibi Baby Diaper (Midi),03-8119,Wemy Industries Limited,Medical devices,1
Emzor Paracetamol 500mg Tablets,04-0124,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Fidson Amoxicillin 500mg Capsules,A4-2311,Lady Special Sanitary Pads Ventures,Drugs,1
Juhel Artemether + Lumefantrine,04-8841,Swiss Pharma Nigeria Ltd,Drugs,1
May & Baker Ciprofloxacin 500mg,04-5012,Bliss GVS Pharma Ltd,Drugs,1
Neimeth Metformin 500mg,A4-9021,Juhel Nigeria Ltd,Drugs,1
Fidson Metformin 10mg/5ml,03-187498,Fidson Healthcare Plc,Medical devices,1
Sages Amoxicillin 500mg,A4-335796,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Juhel Metronidazole 250mg,A3-1189,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Vitalgrub Metformin 10mg/5ml,B4-6393,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
GlaxoSmithKline Metformin 100mg,A3-778843,GlaxoSmithKline Nigeria,Medical devices,1
Roche Loratadine 250mg,A4-4843,Roche Products Limited,Herbals and Nutraceuticals,1
Bond Loratadine 10mg/5ml,04-8892,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
May Vitamin C 500mg,B4-402918,May & Baker Nigeria Plc,Veterinary,1
Wemy Loratadine 250mg,03-6892,Wemy Industries Limited,Vaccines and Biologics,1
Neimeth Amoxicillin 100mg,B4-9154,Neimeth International Pharmaceuticals,Drugs,1
GlaxoSmithKline Omeprazole 250mg,04-6977,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Swiss Ciprofloxacin 10mg/5ml,B4-5636,Swiss Pharma Nigeria Ltd,Veterinary,1
GlaxoSmithKline Vitamin C 10mg/5ml,A3-4627,GlaxoSmithKline Nigeria,Veterinary,1
Emzor Paracetamol 10mg/5ml,04-7776,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Juhel Vitamin C 100mg,04-265838,Juhel Nigeria Ltd,Veterinary,1
Lady Omeprazole 10mg/5ml,03-4696,Lady Special Sanitary Pads Ventures,Medical devices,1
Emzor Metformin 500mg,04-613153,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Emzor Loratadine 500mg,04-3327,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Wemy Vitamin C 100mg,03-115708,Wemy Industries Limited,Herbals and Nutraceuticals,1
Vitalgrub Artemether 10mg/5ml,A3-2959,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Emzor Metronidazole 10mg/5ml,A3-207512,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Sages Omeprazole 100mg,04-3255,Sages Multipurpose Enterprise Ltd,Drugs,1
Fidson Ciprofloxacin 100mg,03-6592,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Vitalgrub Vitamin C 10mg/5ml,04-977844,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Vitalgrub Ibuprofen 100mg,03-4354,Vitalgrub Nigeria Limited,Veterinary,1
Wemy Metformin 100mg,B4-8683,Wemy Industries Limited,Herbals and Nutraceuticals,1
Neimeth Vitamin C 100mg,B4-1606,Neimeth International Pharmaceuticals,Veterinary,1
Vitalgrub Amoxicillin 100mg,A4-1569,Vitalgrub Nigeria Limited,Drugs,1
Bliss Metronidazole 500mg,A4-9096,Bliss GVS Pharma Ltd,Medical devices,1
Roche Vitamin C 10mg/5ml,A3-8992,Roche Products Limited,Veterinary,1
Emzor Amoxicillin 250mg,03-1574,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
GlaxoSmithKline Ibuprofen 10mg/5ml,A3-4124,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Swiss Ciprofloxacin 10mg/5ml,A3-333841,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Emzor Metronidazole 100mg,A4-3838,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Wemy Amoxicillin 500mg,B4-234415,Wemy Industries Limited,Drugs,1
Vitalgrub Metformin 100mg,B4-547556,Vitalgrub Nigeria Limited,Drugs,1
Wemy Metformin 10mg/5ml,A4-3849,Wemy Industries Limited,Medical devices,1
Swiss Ciprofloxacin 100mg,04-7303,Swiss Pharma Nigeria Ltd,Medical devices,1
Wemy Artemether 10mg/5ml,B4-6536,Wemy Industries Limited,Vaccines and Biologics,1
Vitalgrub Omeprazole 100mg,A4-1417,Vitalgrub Nigeria Limited,Drugs,1
Juhel Loratadine 250mg,04-9867,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Lady Amoxicillin 500mg,B4-775510,Lady Special Sanitary Pads Ventures,Drugs,1
May Ibuprofen 10mg/5ml,03-179459,May & Baker Nigeria Plc,Veterinary,1
Bliss Ciprofloxacin 500mg,A4-5980,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Lady Metformin 100mg,B4-6305,Lady Special Sanitary Pads Ventures,Drugs,1
Juhel Amoxicillin 500mg,04-3539,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
GlaxoSmithKline Amoxicillin 10mg/5ml,B4-389106,GlaxoSmithKline Nigeria,Veterinary,1
May Ciprofloxacin 10mg/5ml,A3-303196,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Swiss Amoxicillin 500mg,A4-9647,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
May Loratadine 500mg,B4-4627,May & Baker Nigeria Plc,Drugs,1
Juhel Metformin 500mg,03-7190,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Emzor Vitamin C 250mg,A3-6063,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
GlaxoSmithKline Loratadine 500mg,A3-5964,GlaxoSmithKline Nigeria,Medical devices,1
Sages Ciprofloxacin 250mg,A3-651820,Sages Multipurpose Enterprise Ltd,Veterinary,1
Bliss Vitamin C 100mg,A4-8409,Bliss GVS Pharma Ltd,Medical devices,1
Wemy Amoxicillin 500mg,03-5158,Wemy Industries Limited,Drugs,1
May Artemether 500mg,B4-374907,May & Baker Nigeria Plc,Drugs,1
Sages Metformin 500mg,A4-8245,Sages Multipurpose Enterprise Ltd,Veterinary,1
Fidson Amoxicillin 100mg,A4-1770,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Bond Vitamin C 100mg,B4-5673,Bond Chemical Industries Ltd,Drugs,1
Roche Artemether 10mg/5ml,A3-8648,Roche Products Limited,Medical devices,1
GlaxoSmithKline Loratadine 10mg/5ml,A4-6971,GlaxoSmithKline Nigeria,Drugs,1
Bond Artemether 10mg/5ml,03-124071,Bond Chemical Industries Ltd,Drugs,1
Swiss Metronidazole 10mg/5ml,03-6585,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Sages Vitamin C 250mg,A4-8240,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Swiss Paracetamol 10mg/5ml,A3-2276,Swiss Pharma Nigeria Ltd,Medical devices,1
Swiss Metronidazole 100mg,03-2646,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Vitalgrub Artemether 500mg,B4-101062,Vitalgrub Nigeria Limited,Drugs,1
Lady Vitamin C 100mg,A4-7371,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Neimeth Artemether 250mg,04-3739,Neimeth International Pharmaceuticals,Medical devices,1
Wemy Metformin 250mg,A3-4517,Wemy Industries Limited,Veterinary,1
